kernel,params,build_flags,warmup,iters,min_ms,mean_ms,median_ms,p99_ms,gflops_median
matmul_naive,"M=64 K=64 N=64","-O3",10,100,0.231407,0.245874,0.231577,0.383623,2.264
matmul_naive,"M=128 K=128 N=128","-O3",10,100,2.231059,2.352008,2.276932,3.201072,1.842
matmul_naive,"M=256 K=256 N=256","-O3",10,100,21.544380,22.913694,22.606894,26.623254,1.484
matmul_naive,"M=1 K=256 N=256","-O3",10,100,0.082159,0.083594,0.082359,0.099562,1.591
conv2d_naive,"Cin=3 H=64 W=64 Cout=16 K=3x3 s=1 p=1","-O3",10,100,2.484648,2.654726,2.561688,3.672454,1.381
conv2d_naive,"Cin=16 H=32 W=32 Cout=32 K=3x3 s=1 p=1","-O3",10,100,6.515531,7.260193,6.946975,11.272922,1.358
conv2d_naive,"Cin=32 H=16 W=16 Cout=64 K=3x3 s=2 p=1","-O3",10,100,1.613983,1.970966,1.707121,3.714111,1.382
