model,auc,accuracy,precision,recall,f1,fpr,tp,fn,fp,tn,threshold,recall_imbalance,recall_impact,recall_looseness,in_margin,threshold_pct,data_source
maxabs_z,0.9888861138861139,0.9723756906077348,1.0,0.9519230769230769,0.9753694581280787,0.0,99,5,0,77,64.69385223636363,1.0,0.9473684210526315,0.8928571428571429,6.0,99.0,board_measured
mahalanobis,0.989010989010989,0.9779005524861878,1.0,0.9615384615384616,0.9803921568627451,0.0,100,4,0,77,5193.526977093402,1.0,0.9736842105263158,0.8928571428571429,6.0,99.0,board_measured
ae_float32,0.9892607392607392,0.9779005524861878,1.0,0.9615384615384616,0.9803921568627451,0.0,100,4,0,77,264.7979692959313,1.0,0.9736842105263158,0.8928571428571429,6.0,99.0,board_measured
ae_int8,0.9886363636363636,0.9392265193370166,0.911504424778761,0.9903846153846154,0.9493087557603687,0.12987012987012986,103,1,10,67,18371.839999999997,1.0,0.9736842105263158,1.0,6.0,99.0,board_measured
