tag,n,min,median,p99,max,clock_hz,measured_at,note
dwt_overhead,100,24,24,24,24,84000000,2026-08-02,빈 구간 100회(워밍업 10회 제외). 측정 오버헤드의 바닥값. 분산 0 = 어떤 구간에도 ISR 미개입
hal_delay_100ms,1,8466511,8466511,8466511,8466511,84000000,2026-08-02,HAL_Delay(100) 실측. 기대 8400000 대비 +7퍼밀(+0.79ms) = HAL_Delay의 +1틱 보장 동작. 단발 측정이므로 통계 아님
imu_interval_haldelay,100,31,923993,924016,924016,84000000,2026-08-02,HAL_Delay(10) 기반 폴링 주기. 실측 11.00ms = 90.9Hz (목표 100Hz 미달). min=31은 첫 구간 측정 버그(이후 수정). W2 3번에서 osDelayUntil로 재측정 예정
imu_read_cost,100,70470,70471,70471,70471,84000000,2026-08-02,MPU-6500 가속도 6바이트 I2C 읽기 1회. 0.839ms. 100kHz 이론값 830us와 1% 이내 일치
